"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"10451"	"OLFM3"	-4.9150590647372	2.77666974824458	-111.836622592602	1.36672896799843e-17	1.21361261330236e-15
"7306"	"KCNT1"	-5.03308916238805	2.9688395389993	-111.691407990641	1.38729151689554e-17	1.22548876018405e-15
"13018"	"SCN3B"	-5.60442161262749	3.37953313994591	-111.608867427178	1.40956188612318e-17	1.23575875633024e-15
"2363"	"CBLN2"	-4.27542086045869	2.95413269698304	-111.401833438722	1.41341402712415e-17	1.23575875633024e-15
"14055"	"SPHKAP"	-4.93360620069704	2.76288211464103	-111.358952670054	1.42892272509455e-17	1.24294405817025e-15
"166"	"ACSL6"	-5.39812617431159	3.55639696308342	-111.274108375809	1.44942499903873e-17	1.25437801058941e-15
"6764"	"HTR5A"	-4.43697216727862	2.64481583895821	-111.02482480798	1.46599602249867e-17	1.26231142361514e-15
"2515"	"CCK"	-7.3433437049299	4.64038695137095	-111.426402795591	1.48229204416817e-17	1.26992950055392e-15
"12285"	"RCAN2"	-4.52941659389719	5.38431825818453	-110.678531055994	1.51551209138707e-17	1.29189828230291e-15
"10814"	"PCP4L1"	-5.23793737303683	3.25576672495235	-110.55069461912	1.54697885458471e-17	1.31216131800074e-15
"14080"	"SPOCK3"	-6.53792168172528	3.79431286239537	-110.666572184258	1.56465742526257e-17	1.32058635857928e-15
"6872"	"IGFBP3"	4.53740915002075	6.5593705806116	110.134635381149	1.59486006090952e-17	1.33944675755894e-15
"3980"	"DLGAP5"	5.12056093845619	3.22079047107344	109.815267214033	1.65486689176478e-17	1.38303066851459e-15
"12854"	"RUNDC3A"	-7.56590518804635	4.66264546119538	-110.074365037579	1.69000364419172e-17	1.40550595755242e-15
"4186"	"DTL"	4.57077069244002	3.07993835872407	109.249468976798	1.73427420731927e-17	1.43532237672749e-15
"11323"	"PMP2"	-6.5362493716111	3.97375806084599	-109.360084594389	1.76908777751929e-17	1.45706171589016e-15
"7508"	"KIF5A"	-7.12901556549714	5.74310621144506	-109.222315104012	1.81417360065888e-17	1.48701181334775e-15
"9023"	"MBP"	-8.38866776074428	9.09639137766876	-109.206419716888	1.86870987010247e-17	1.52438442944388e-15
"9424"	"MPPED1"	-5.05861221219517	3.11465580098595	-108.425991890567	1.88622235608612e-17	1.53134309280534e-15
"4445"	"ELAVL4"	-5.66880404486505	3.14800859147145	-108.238531048369	1.93760845523738e-17	1.56560599778872e-15
"11574"	"PPP2R2B"	-5.19049820029182	4.47721822819685	-107.811047326615	2.00406942181684e-17	1.60495814243718e-15
"9579"	"MT3"	-9.58005498820732	6.00385666848909	-108.735782037083	2.00918336467004e-17	1.60495814243718e-15
"1054"	"ATP2B3"	-4.97117940886165	2.80363441229984	-107.655000473023	2.02841457040284e-17	1.60495814243718e-15
"9902"	"NDRG4"	-7.51834104702473	5.947372691172	-108.12558769021	2.03080419868253e-17	1.60495814243718e-15
"14639"	"TCEAL6"	-5.94840163168627	3.38168906009006	-107.783869019269	2.03338001505326e-17	1.60495814243718e-15
"10126"	"NMNAT2"	-5.7982598383328	4.18020105291152	-107.651021781149	2.05419317637174e-17	1.61391426101207e-15
"12417"	"RGS7BP"	-5.05510831866286	2.87985318403855	-107.172585511349	2.12715407396585e-17	1.66357109206623e-15
"1314"	"BEX5"	-4.91432629066993	4.87619404847918	-106.816605914122	2.19768278058356e-17	1.71088099206252e-15
"11012"	"PHACTR3"	-6.07267054150192	3.49142819028386	-106.810576121797	2.2382972200846e-17	1.73457860478283e-15
"3396"	"CRHR1"	-4.14701516906702	2.46720221454853	-106.333796523075	2.28532710125788e-17	1.76301093888442e-15
"14461"	"SYP"	-7.01894150725907	6.06760064278677	-106.483700621911	2.35358653497934e-17	1.80366691015412e-15
"6068"	"GPRASP1"	-5.01836560980432	4.05518978608568	-106.076042234723	2.36474242337345e-17	1.80366691015412e-15
"5530"	"FUT9"	-4.38692442426709	2.84332857089999	-105.982399063605	2.36976589755718e-17	1.80366691015412e-15
"8838"	"MAGEA6"	5.37976647344407	3.32044927448269	106.052633961697	2.38206618231703e-17	1.80497094854769e-15
"1205"	"BAI3"	-4.69772558366561	2.97823567472459	-105.877191786403	2.40181501106215e-17	1.81188248334507e-15
"1788"	"C1orf173"	-4.21777555677461	2.41188937468662	-105.590583634262	2.45866051395671e-17	1.83570094170609e-15
"991"	"ATCAY"	-5.53621238384849	4.00626124099019	-105.7247750297	2.46543968576191e-17	1.83570094170609e-15
"12997"	"SCD5"	-4.94119234091081	6.12158403202969	-105.638140820144	2.46569016159713e-17	1.83570094170609e-15
"11774"	"PRSS21"	5.56303279060933	3.53306710236784	105.670556905368	2.47959491317815e-17	1.83802668151193e-15
"8798"	"LYZ"	6.08857736064434	5.63478512860423	105.608000817814	2.51709241655256e-17	1.8577449614634e-15
"15523"	"TTBK1"	-4.28988304522318	2.54157347984054	-105.303028092099	2.53053186317834e-17	1.85961369548826e-15
"15410"	"TRIM9"	-4.39114056990305	4.50091654112272	-105.151877156002	2.5707400146415e-17	1.88105349826708e-15
